row_type,dataset,scene,variant,strict_required_metric_complete,lpips_skipped,image_key,train_mean_reflection_consistency,train_reflective_region_psnr,train_num_pairs,train_valid_pair_count,train_full_psnr,train_full_ssim,train_full_lpips,train_reflective_psnr,train_reflective_ssim,train_reflective_lpips,train_num_images,test_mean_reflection_consistency,test_reflective_region_psnr,test_num_pairs,test_valid_pair_count,test_full_psnr,test_full_ssim,test_full_lpips,test_reflective_psnr,test_reflective_ssim,test_reflective_lpips,test_num_images,complete_models,expected_models
model,glossy_synthetic,horse,wo_ref,True,False,pbr_rgb,0.1957314908504486,23.41133346557617,10,10,30.001469952719553,0.96853007376194,0.031518862200235684,32.242526922907146,0.9793699149574552,0.019496331581779356,112,0.22322192937135696,22.0252893447876,10,10,27.470797419548035,0.9444305635988712,0.039857539581134915,30.097726821899414,0.9682388231158257,0.02731495164334774,16,,
model,glossy_synthetic,horse,wo_conf,True,False,pbr_rgb,0.18143763542175292,24.006666946411134,10,10,30.35312044620514,0.9688644723168441,0.03036097763106227,32.720366512026104,0.979630384594202,0.018426812561561486,112,0.20740322172641754,22.150599098205568,10,10,27.648141384124756,0.9450214542448521,0.03871740854810923,30.356438159942627,0.9686231166124344,0.02595852327067405,16,,
model,glossy_synthetic,horse,rough_only,True,False,pbr_rgb,0.19804181158542633,23.906452941894532,10,10,30.461628488131932,0.9691522062889167,0.029895531296330904,32.58050959450858,0.9808108982230935,0.01722236058308876,112,0.22210411727428436,22.025045585632324,10,10,27.683650493621826,0.9451914578676224,0.03818890999536961,30.053258776664734,0.9693291038274765,0.024369381368160248,16,,
model,glossy_synthetic,luyu,wo_ref,True,False,pbr_rgb,0.1222952775657177,25.654272842407227,10,10,32.102201563971384,0.9665356650948524,0.03128159752980407,34.097303066934856,0.9801080647323813,0.019221035530790687,112,0.1295338213443756,23.29527187347412,10,10,29.47066342830658,0.9482258781790733,0.03723358118440956,31.424764275550842,0.9692122228443623,0.02445309911854565,16,,
model,glossy_synthetic,luyu,wo_conf,True,False,pbr_rgb,0.10961685255169869,25.221497535705566,10,10,31.851846184049332,0.9658277976725783,0.03234480821993202,33.61810239723751,0.9785392044910363,0.020963004673831165,112,0.1201612651348114,22.987455940246583,10,10,29.301379561424255,0.9474608153104782,0.03846253105439246,31.102599024772644,0.9676886014640331,0.026251077535562217,16,,
model,glossy_synthetic,luyu,rough_only,True,False,pbr_rgb,0.12040221616625786,25.31834316253662,10,10,31.865628617150442,0.9654750595135349,0.032671391481666694,33.7397027185985,0.9791939721575805,0.020609321396997466,112,0.12684064954519272,23.070027923583986,10,10,29.316701769828796,0.9471549428999424,0.03849246958270669,31.206926226615906,0.9683474078774452,0.025673151365481317,16,,
model,glossy_synthetic,potion,wo_ref,True,False,pbr_rgb,0.09206003248691559,29.271531105041504,10,10,34.98601012570517,0.9742263864193644,0.04992585203477314,36.04801133700779,0.979314211755991,0.032792533232298283,112,0.08513014204800129,27.63684673309326,10,10,32.6298588514328,0.962023414671421,0.0590314082801342,33.807382225990295,0.9710056222975254,0.039385356241837144,16,,
model,glossy_synthetic,potion,wo_conf,True,False,pbr_rgb,0.08236022815108299,29.058702087402345,10,10,34.90818759373256,0.9732388550681728,0.05205990876337247,36.031511545181274,0.9786900973745755,0.034903183612706404,112,0.0783917885273695,27.707265853881836,10,10,32.64493119716644,0.9612923823297024,0.06123470398597419,33.85101044178009,0.970986545085907,0.041546087712049484,16,,
model,glossy_synthetic,potion,rough_only,True,False,pbr_rgb,0.09311198294162751,29.025543212890625,10,10,35.05583388464792,0.9739726835063526,0.05156430326003049,36.101957593645366,0.9794507777052266,0.03367400319049401,112,0.08532856442034245,27.662607955932618,10,10,32.74109601974487,0.9621234461665154,0.060172691475600004,33.911728858947754,0.9716345518827438,0.03946003969758749,16,,
model,glossy_synthetic,tbell,wo_ref,True,False,pbr_rgb,0.2685814380645752,27.079141235351564,10,10,33.35816713741848,0.976229769310781,0.034168650612368116,33.75583803653717,0.9776400088199547,0.028197809754471694,112,0.3090794920921326,25.925282859802245,10,10,30.671122789382935,0.9641624055802822,0.0432726014405489,31.150426983833313,0.9670906402170658,0.036039689905010164,16,,
