dataset,split,scene,variant,metric,value,metric_direction
glossy_synthetic,train,tbell,wo_conf,mean_reflection_consistency,0.2394204065203666,lower
glossy_synthetic,train,tbell,wo_conf,reflective_psnr,33.845629589898245,higher
glossy_synthetic,train,tbell,wo_conf,reflective_ssim,0.9785033932753971,higher
glossy_synthetic,train,tbell,wo_conf,reflective_lpips,0.0266861217761678,lower
glossy_synthetic,train,tbell,wo_conf,reflective_region_psnr,27.229942321777344,higher
glossy_synthetic,train,tbell,wo_conf,full_psnr,33.460986154420034,higher
glossy_synthetic,train,tbell,wo_conf,full_ssim,0.9771923848560878,higher
glossy_synthetic,train,tbell,wo_conf,full_lpips,0.032538780194175,lower
glossy_synthetic,train,tbell,rough_only,mean_reflection_consistency,0.2776206701993942,lower
glossy_synthetic,train,tbell,rough_only,reflective_psnr,33.65329018660954,higher
glossy_synthetic,train,tbell,rough_only,reflective_ssim,0.9782428789351668,higher
glossy_synthetic,train,tbell,rough_only,reflective_lpips,0.0271110051876998,lower
glossy_synthetic,train,tbell,rough_only,reflective_region_psnr,27.06384391784668,higher
glossy_synthetic,train,tbell,rough_only,full_psnr,33.399973443576265,higher
glossy_synthetic,train,tbell,rough_only,full_ssim,0.976953015795776,higher
glossy_synthetic,train,tbell,rough_only,full_lpips,0.0327598777366802,lower
glossy_synthetic,train,teapot,base,mean_reflection_consistency,0.3351043462753296,lower
glossy_synthetic,train,teapot,base,reflective_psnr,30.510475516319275,higher
glossy_synthetic,train,teapot,base,reflective_ssim,0.9712742785257952,higher
glossy_synthetic,train,teapot,base,reflective_lpips,0.0329098770328398,lower
glossy_synthetic,train,teapot,base,reflective_region_psnr,23.052289962768555,higher
glossy_synthetic,train,teapot,base,full_psnr,29.86964590208871,higher
glossy_synthetic,train,teapot,base,full_ssim,0.9682701075715678,higher
glossy_synthetic,train,teapot,base,full_lpips,0.0385867910060499,lower
glossy_synthetic,train,teapot,rc,mean_reflection_consistency,0.2942800536751747,lower
glossy_synthetic,train,teapot,rc,reflective_psnr,30.47585414137159,higher
