dataset,dataset_label,scene,split,metric,better_direction,rc_minus_base_delta,improvement,winner,quality_tradeoff_summary
glossy_synthetic,Glossy-Syn.,angel,test,full_lpips,lower,-0.000228,0.000228,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,test,reflective_psnr,higher,0.066606,0.066606,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,test,reflective_ssim,higher,-0.000106,-0.000106,base,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,test,reflective_lpips,lower,-0.000225,0.000225,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,bell,train,mean_reflection_consistency,lower,-0.004472,0.004472,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,train,full_psnr,higher,0.015048,0.015048,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,train,full_ssim,higher,0.000708,0.000708,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,train,full_lpips,lower,-0.001564,0.001564,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,train,reflective_psnr,higher,0.01588,0.01588,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,train,reflective_ssim,higher,0.000781,0.000781,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,train,reflective_lpips,lower,-0.001531,0.001531,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,test,mean_reflection_consistency,lower,-0.001976,0.001976,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,test,full_psnr,higher,0.134085,0.134085,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,test,full_ssim,higher,0.000964,0.000964,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,test,full_lpips,lower,-0.002622,0.002622,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,test,reflective_psnr,higher,0.145326,0.145326,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,test,reflective_ssim,higher,0.001185,0.001185,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,bell,test,reflective_lpips,lower,-0.002677,0.002677,RC,train: worsened=reflective_region_psnr; test: worsened=none
glossy_synthetic,Glossy-Syn.,cat,train,mean_reflection_consistency,lower,-0.007061,0.007061,RC,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,train,full_psnr,higher,0.028984,0.028984,RC,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,train,full_ssim,higher,0.000114,0.000114,RC,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,train,full_lpips,lower,-0.000162,0.000162,RC,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,train,reflective_psnr,higher,-0.105457,-0.105457,base,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,train,reflective_ssim,higher,-0.000658,-0.000658,base,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,train,reflective_lpips,lower,0.000735,-0.000735,base,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,test,mean_reflection_consistency,lower,-0.006836,0.006836,RC,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,Glossy-Syn.,cat,test,full_psnr,higher,-0.242756,-0.242756,base,"train: worsened=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
